,name,birthday,birth_location,grade,no_opinions,awards_str,known_for,best_roles,newest_productions,ranking,awards,nominations,Country_of_birth,City_of_birth,won_oscar
27,Alan Rickman,21 lutego 1946,"Londyn, Anglia, Wielka Brytania",8.9,79327,"Zdobył Złoty Glob, 8 innych nagród i 15 nominacji","Szklana pułapka, Robin Hood: Książę złodziei, Rasputin, Zimowy gość, Harry Potter i Insygnia Śmierci, cz.2, Sweeney Todd: Demoniczny golibroda z Fleet Street, Rozważna i romantyczna, Kamerdyner, ","Pułkownik Christopher Brandon, ","Niewidzialny wróg, Odrobina chaosu, Kamerdyner, CBGB, Dust, Na zawsze twoja, Gambit, czyli jak ograć króla, Harry Potter i Insygnia Śmierci: Część II, Harry Potter i Insygnia Śmierci: Część I, The Song of Lunch, Harry Potter i Książę Półkrwi, Wino na medal, Harry Potter i Zakon Feniksa, Porwany, Sweeney Todd: Demoniczny golibroda z Fleet Street, Śniegowe ciastko, Pachnidło: Historia mordercy, Harry Potter i Czara Ognia, Harry Potter i więzień Azkabanu, W rękach Boga, To właśnie miłość, Harry Potter i Komnata Tajemnic, Harry Potter i Kamień Filozoficzny, Dwa w jednym, The Search for John Gissing, ",5,9,15, Wielka Brytania,Londyn,0
28,Cate Blanchett,14 maja 1969,"Melbourne, Australia",8.5,79085,"Zdobyła 2 nagrody Oscar, 43 inne nagrody i 74 nominacje","Blue Jasmine, Władca Pierścieni: Drużyna Pierścienia, Aviator, Władca Pierścieni: Powrót króla, Elżbieta, Babel, I'm Not There. Gdzie indziej jestem, Carol, ","Bob Dylan / Jude, Jasmine, Elżbieta I, Elżbieta I, Mary Mapes, Phyllis Schlafly, Sheba Hart, Bernadette, Dr Lilith Ritter, ","Disclaimer, Brideshead Revisited, Zaułek koszmarów, Armageddon Time, Nie patrz w górę, Bezpaństwowcy, Mrs. America, Gdzie jesteś, Bernadette?, Ocean's 8, Zegar czarnoksiężnika, Uncanny Valley, Song to Song, Thor: Ragnarok, Red, Rycerz pucharów, Carol, Kopciuszek, Niewygodna prawda, Manifesto, Hobbit: Bitwa Pięciu Armii, Obrońcy skarbów, Hobbit: Pustkowie Smauga, Blue Jasmine, The Turning, Making a Scene, ",13,45,74, Australia,Melbourne,1
29,Will Smith,25 września 1968,"Filadelfia, Pensylwania, USA",8.3,78292,"Zdobył Oscar, 25 innych nagród i 68 nominacji","Jestem legendą, W pogoni za szczęściem, Faceci w czerni, Hitch: Najlepszy doradca przeciętnego faceta, Hancock, Dzień Niepodległości, King Richard: Zwycięska rodzina, 1000 lat po Ziemi, ","Chris Gardner, Ben Thomas, Robert Neville, Dr Bennet Omalu, Mike Lowrey, Mike Lowrey, Howard, James Darrel Edwards III / Agent J, Richard Williams, ","I Am Legend 2, Hancock 2, Colossus, The American Can, Emancipation, Fast & Loose, King Richard: Zwycięska rodzina, Bad Boys for Life, The City That Sailed, Aladyn, Bliźniak, Student of the Year 2, Bright, Legion samobójców, Ukryte piękno, Focus, Wstrząs, Zimowa opowieść, 1000 lat po Ziemi, Legenda telewizji 2: Kontynuacja, Faceci w czerni 3, Hancock, Siedem dusz, Jestem legendą, W pogoni za szczęściem, ",133,26,68, USA,Filadelfia,1
30,Bruce Willis,19 marca 1955,"Idar-Oberstein, RFN , (obecnie Niemcy)",8.0,77853,"Zdobył Złoty Glob, 5 innych nagród i 21 nominacji","Armageddon, Na wariackich papierach, Kod Merkury, Stan oblężenia, Szósty zmysł, Hudson Hawk, Kochankowie z Księżyca. Moonrise Kingdom, 12 małp, ","Malcolm Crowe, James Cole, Korben Dallas, Joe Hallenbeck, David Addison Jr / Niemowlak Hayes / Pertrucio, ","McClane, Corrective Measures, Gasoline Alley, Soul Assassin, A Day to Die, Fortress: Sniper's Eye, White Elephant, Kosmiczny grzech, Po śladach mordercy, Poza prawem, Survive the Game, Apex, Fortress, Deadlock, Odsiecz, Przetrwać do świtu, Plan ocalenia, Arka przetrwania, Glass, Osierocony Brooklyn, 10 minut, Trauma Center, Between Two Ferns: Film, Niezłomny duch, Życzenie śmierci, ",286,6,21, (obecnie Niemcy),Idar-Oberstein,0
31,Chris Evans,13 czerwca 1981,"Boston, Massachusetts, USA",8.4,77558,"Zdobył Kryształowa Statuetka, 4 inne nagrody i 38 nominacji","Kapitan Ameryka: Wojna bohaterów, Avengers 3D, Avengers: Czas Ultrona, Kapitan Ameryka: Zimowy Żołnierz, Avengers: Koniec gry, Kapitan Ameryka: Pierwsze starcie, Avengers: Wojna bez granic, Na noże, ","Bryce, Mike Weiss, Jimmy, Nick Vaughan, Syd, Frank Adler, Colin Shea, Ja, ","Jekyll, Szary człowiek, Nie patrz w górę, Free Guy, W obronie syna, Avengers: Koniec gry, Operacja Bracia, Na noże, Kapitan Marvel, Avengers: Wojna bez granic, Obdarowani, Spider-Man: Homecoming, Kapitan Ameryka: Wojna bohaterów, Avengers: Czas Ultrona, Ant-Man, Kapitan Ameryka: Zimowy Żołnierz, Rozegraj to na luzie, Zanim się rozstaniemy, Snowpiercer: Arka przyszłości, Thor: Mroczny świat, Avengers, Iceman: Historia mordercy, Ilu miałaś facetów?, Captain America: Pierwsze starcie, Wkłucie, ",109,5,38, USA,Boston,0
32,Matt Damon,8 października 1970,"Cambridge, Massachusetts, USA",8.1,76764,"Zdobył Oscar, 8 innych nagród i 65 nominacji","Marsjanin, Szeregowiec Ryan, Infiltracja, Utalentowany pan Ripley, Krucjata Bourne'a, Ultimatum Bourne'a, Ocean's Eleven: Ryzykowna gra, Eurotrip, ","Will Hunting, Tom Ripley, Carroll Shelby, Mark Watney, Colin Sullivan, Scott Thorson, Mike McDermott, ","Oppenheimer, Thor: Miłość i grom, Ostatni pojedynek, Stillwater, Bez gwałtownych ruchów, Le Mans '66, Jay i Cichy Bob powracają, Deadpool 2, Niepoczytalna, Pomniejszenie, Suburbicon, Thor: Ragnarok, Jason Bourne, Wielki Mur, Marsjanin, Obrońcy skarbów, Interstellar, Elizjum, Wielki Liberace, Teoria wszystkiego, Promised Land, Margaret, Władcy umysłów, Contagion - Epidemia strachu, Kupiliśmy zoo, ",236,9,65, USA,Cambridge,1
33,Kevin Spacey,26 lipca 1959,"South Orange, New Jersey, USA",8.8,74540,"Zdobył 2 nagrody Oscar, 17 innych nagród i 40 nominacji","Siedem, Podejrzani, House of Cards, Tajemnice Los Angeles, Epidemia, Chciwość, Wśród rekinów, K-PAX, ","Prot, Dr David Gale, Jack Vincennes, Chris Sabian, Eugene Simonet, Sam Rogers, ","Gore, Klub miliarderów, House of Cards, Baby Driver, Zbuntowany w zbożu, Wszystkie pieniądze świata, Elvis & Nixon, Jak zostać kotem, Szefowie wrogowie 2, NOW: In the Wings on a World Stage, Spirit of a Denture, The Ventriloquist, Envelope, Nierozłączni, Chciwość, Szefowie wrogowie, The Organ Grinder's Monkey, My Least Favorite Career, W krainie pieniądza, Father of Invention, Człowiek, który gapił się na kozy, Całe życie z wariatami, 21, Telstar: The Joe Meek Story, Decydujący głos, ",14,19,40, USA,South Orange,1
34,Jack Nicholson,22 kwietnia 1937,"Neptune, New Jersey, USA",9.0,74621,"Zdobył 3 nagrody Oscar, 45 innych nagród i 42 nominacje","Lepiej być nie może, Lśnienie, Infiltracja, Chinatown, Czułe słówka, Batman, Czarownice z Eastwick, Swobodny jeździec, ","Melvin Udall, J. J. 'Jake' Gittes, Płk. Nathan R. Jessup, Frank Costello, Francis Phelan, Daryl Van Horne, Garrett Breedlove, ","Skąd wiesz?, Choć goni nas czas, Infiltracja, Dwóch gniewnych ludzi, Lepiej późno niż później, Schmidt, Obietnica, Lepiej być nie może, Czułe słówka: Ciąg dalszy, Krew i wino, Marsjanie atakują!, Obsesja, Wilk, Kłopoty z facetami, Hoffa, Ludzie honoru, Dwóch Jake'ów, Batman, Czarownice z Eastwick, Chwasty, Telepasja, Zgaga, Honor Prizzich, Czułe słówka, Na granicy, ",2,48,42, USA,Neptune,1
35,Ralph Fiennes,22 grudnia 1962,"Ipswich, Anglia, Wielka Brytania",8.6,72497,"Zdobył BAFTA, 8 innych nagród i 43 nominacje","The Hurt Locker. W pułapce wojny, Wierny ogrodnik, Kropla słońca, Grand Budapest Hotel, Harry Potter i Insygnia Śmierci, cz.2, Angielski pacjent, Harry Potter i Czara Ognia, Księżna, ","Amon Goeth, Pan Gustave H., Ignatz Sonnenschein / Adam Sors / Ivan Sors, Heathcliff, Dennis ""Pająk"" Cleg, Francis Dolarhyde, Hrabia László de Almásy, ","The Menu, Brideshead Revisited, The Return, Nie czas umierać, King's Man: Pierwsza misja, Wykopaliska, The Forgiven, Brudna gra, Holmes i Watson, Biały kruk, Coronet, Ave, Cezar!, Spectre, Nienasyceni, Dwie kobiety, Grand Budapest Hotel, Worricker - Drugie starcie, Worricker - ostateczna rozgrywka, Harry Potter and the Escape from Gringotts, Kobieta w ukryciu, Gniew tytanów, Wielkie nadzieje, Skyfall, Koriolan, Harry Potter i Insygnia Śmierci: Część II, ",47,9,43, Wielka Brytania,Ipswich,0
36,Ryan Reynolds,23 października 1976,"Vancouver, Kanada",8.4,71685,"Zdobył Nagroda Filmwebu, 7 innych nagród i 33 nominacje","Deadpool, Amityville, Zielona Latarnia, Free Guy, Narzeczony mimo woli, Był sobie Deadpool, X-Men Geneza: Wolverine, Pogrzebany, ","Guy, Michael Bryce, Andrew Paxton, Paul Conroy, Jerry, George Lutz, Will Hayes, ","Deadpool 3, Projekt Adam, Czerwona nota, Free Guy, Bodyguard i żona zawodowca, Pokémon Detektyw Pikachu, 6 Underground, Szybcy i wściekli: Hobbs i Shaw, Deadpool 2, Life, Bodyguard Zawodowiec, Deadpool: No Good Deed, Life: Astronaut Diaries, Deadpool, Umysł przestępcy, Klucz do wieczności, Urodzeni zwycięzcy, Złota dama, Pojmani, Głosy, Milion sposobów, jak zginąć na Zachodzie, R.I.P.D. Agenci z zaświatów, Safe House, Ted, Green Lantern, ",108,8,33, Kanada,Vancouver,0
37,Margot Robbie,2 lipca 1990,"Gold Coast, Australia",8.6,72289,"Zdobyła Kryształowa Statuetka, 7 innych nagród i 41 nominacji","Legion samobójców, Jestem najlepsza. Ja, Tonya, Ptaki Nocy (i fantastyczna emancypacja pewnej Harley Quinn), Gorący temat, Pewnego razu... w Hollywood, Wilk z Wall Street, Focus, Maria, królowa Szkotów, ","Tonya Harding, Naomi Lapaglia, Jess, Królowa Elżbieta I, Kayla Pospisil, Margot Robbie, Laura Cameron, ","Ruin, Barbie, Gotham City Sirens, Asteroid City, Untitled David O. Russell Project, Babylon, Legion samobójców: The Suicide Squad, Ptaki Nocy (i fantastyczna emancypacja pewnej Harley Quinn), Pewnego razu... w Hollywood, Wyśniony świat, Gorący temat, Terminal, Maria, królowa Szkotów, Rzeźnia, Żegnaj Christopher Robin, Jestem najlepsza. Ja, Tonya, Tarzan: Legenda, Legion samobójców, Whiskey Tango Foxtrot, Z jak Zachariasz, Focus, Big Short, Francuska suita, Czas na miłość, Wilk z Wall Street, ",5,8,41, Australia,Gold Coast,0
38,Hugh Jackman,12 października 1968,"Sydney, Australia",8.6,71816,"Zdobył Złoty Glob, 4 inne nagrody i 44 nominacje","Logan: Wolverine, Nędznicy, X-Men Geneza: Wolverine, X-Men, Labirynt, Prestiż, Wolverine 3D, X-Men: Przeszłość, która nadejdzie, ","Jean Valjean, Keller Dover, P.T. Barnum, Robert Angier, ","Enzo Ferrari, Reminiscencja, Zła edukacja, Deadpool 2, Pewny kandydat. Jak nie zostać prezydentem, Król rozrywki, Logan: Wolverine, Eddie zwany Orłem, X-Men: Apocalypse, Chappie, Piotruś. Wyprawa do Nibylandii, Earl i ja, i umierająca dziewczyna, X-Men: Przeszłość, która nadejdzie, Noc w muzeum: Tajemnica grobowca, Wolverine, Labirynt, Movie 43, Les Misérables: Nędznicy, Snow Flower and the Secret Fan, Giganci ze stali, Jak po maśle, X-Men: Pierwsza klasa, X-Men Geneza: Wolverine, Australia, Uwiedziony, ",43,5,44, Australia,Sydney,0
39,Cezary Pazura,13 czerwca 1962,"Tomaszów Mazowiecki, Polska",8.0,64592,"Zdobył Złota Kaczka, 5 innych nagród i 9 nominacji","Tato, Weekend, Kroll, Show, Diablo. Wyścig o wszystko, Sztos, Ajlawju, Sztos 2, ","Fred, Podporucznik Waldemar Morawiec ""Nowy"", Kapral Edward Wiaderny, Podporucznik Waldemar Morawiec ""Nowy"", Posterunkowy Cezary Cezary, Cezary Kujawski, działacz Stowarzyszenia Obrony Praw Ojca, Czarnecki ""Synek"", ","Tajemnica zawodowa, Fuks 2, Nie cudzołóż i nie kradnij, Lepsza połowa, Sexify, Druga połowa, Kryptonim Polska, Psy 3. W imię zasad, W głębi lasu, Gorzko, gorzko!, Listy do M. 4, Moja cudowna Wanda, Diablo. Wyścig o wszystko, Kurier, Żmijowisko, Futro z misia, Pitbull. Ostatni pies, Ślepnąc od świateł, Trzecia połowa, 7 uczuć, Gdyby zachłanność była człowiekiem..., Pierwszy dzień lata, Dwie korony, Volta, Tabliczka mnożenia, ",323,6,9, Polska,Tomaszów Mazowiecki,0
40,Ryan Gosling,12 listopada 1980,"London, Kanada",8.2,72072,"Zdobył Złoty Glob, 10 innych nagród i 54 nominacje","Drive, La La Land, Nice Guys. Równi goście, Szkolny chwyt, Miłość Larsa, Kocha, lubi, szanuje, Blue Valentine, Blade Runner 2049, ","Noah, Lars Lindstrom, Kierowca, Jacob Palmer, Dean, Danny Balint, Oficer K, Holland March, Sebastian, Luke, ","Barbie, Szary człowiek, Pierwszy człowiek, Song to Song, Blade Runner 2049, Nice Guys. Równi goście, La La Land, Big Short, Gangster Squad. Pogromcy mafii, Tylko Bóg wybacza, Drugie oblicze, Kocha, lubi, szanuje, Drive, Idy marcowe, Wszystko, co dobre, Blue Valentine, Słaby punkt, Miłość Larsa, Szkolny chwyt, Zostań, Pamiętnik, Odmienne stany moralności, Śmiertelna wyliczanka, The Slaughter Rule, Fanatyk, ",176,11,54, Kanada,London,0
41,Keanu Reeves,2 września 1964,"Bejrut, Liban",8.2,71423,"Zdobył Teen Choice, 4 inne nagrody i 24 nominacje","Matrix, Speed: Niebezpieczna szybkość, Dom nad jeziorem, Na fali, Matrix Reaktywacja, John Wick 3, Matrix Rewolucje, Słodki listopad, ","John Wick, Keanu Reeves, Kevin Lomax, John Wick, John Wick, Scott Favor, ","Rain, John Wick: Chapter 4, BRZRKR, Matrix Zmartwychwstania, Bill i Ted ratują wszechświat, John Wick 3, Chyba na pewno ty, Between Two Ferns: Film, Replikanci, Syberia, Weselne przeznaczenie, John Wick 2, Aż do kości, Wielkie wydarzenie, W imię prawdy, Neon Demon, Outsiderka, Objawienie, Kto tam?, John Wick, 47 roninów, Człowiek Tai Chi, Generacja hmm, Skok Henry'ego, Prywatne życie Pippy Lee, ",213,5,24, Liban,Bejrut,0
42,Emma Stone,6 listopada 1988,"Scottsdale, Arizona, USA",8.3,70778,"Zdobyła Oscar, 16 innych nagród i 60 nominacji","La La Land, Służące, Birdman czyli (Nieoczekiwane pożytki z niewiedzy), Łatwa dziewczyna, Kocha, lubi, szanuje, Niesamowity Spider-Man 2, Faworyta, Niesamowity Spider-Man, ","Abigail, Annie Landsberg, Olive Penderghast, Eugenia ""Skeeter"" Phelan, Mia, Hannah, Abby, Sam, ","Poor Things, Cruella, The Curse, Zombieland: Kulki w łeb, Faworyta, Maniac, Wojna płci, La La Land, Gwiazdorskie życie, Witamy na Hawajach, Nieracjonalny mężczyzna, Niesamowity Spider-Man 2, Birdman, Magia w blasku księżyca, Wywiad ze słońcem narodu, Gangster Squad. Pogromcy mafii, Movie 43, Niesamowity Spider-Man, Służące, Kocha, lubi, szanuje, To tylko seks, Łatwa dziewczyna, Duchy moich byłych, Papierowy bohater, Zombieland, ",36,17,60, USA,Scottsdale,1
43,Jason Statham,26 lipca 1967,"Shirebrook, Anglia, Wielka Brytania",8.4,70553,,"Agentka, Szybcy i wściekli 7, Szybcy i wściekli 8, Przekręt, Transporter, Adrenalina, Szybcy i wściekli 6, Niezniszczalni, ","Frank Martin, Rick Ford, Frank Martin, Arthur Bishop, Frank Martin, Chev Chelios, Phil Broker, Lee Christmas, ","The Expendables 4, Gra fortuny, Jeden gniewny człowiek, Szybcy i wściekli 9, Szybcy i wściekli: Hobbs i Shaw, The Meg, Szybcy i wściekli 8, Mechanik: Konfrontacja, Joker, Szybcy i wściekli 7, Agentka, Niezniszczalni 3, Parker, Koliber, W obronie własnej, Szybcy i wściekli 6, Protektor, Niezniszczalni 2, Mechanik: Prawo zemsty, Blitz, Elita zabójców, Niezniszczalni, 13, Adrenalina 2. Pod napięciem, Angielska robota, ",122,,, Wielka Brytania,Shirebrook,0
44,Liam Neeson,7 czerwca 1952,"Ballymena, Irlandia Północna, Wielka Brytania",8.2,67611,"Zdobył IFTA, 3 inne nagrody i 19 nominacji","Lista Schindlera, Kinsey, Michael Collins, Gwiezdne wojny: Część I - Mroczne widmo, Batman - Początek, Non-Stop, Gniew tytanów 3D, Battleship: Bitwa o Ziemię, ","Oskar Schindler, Michael Collins, Jean Valjean, Robert Roy MacGregor, Dr Martin Harris, Bill Marks, Ottway, ","Demaskator, Memory, Marlowe, The Marksman, Lodowy szlak, Uczciwy złodziej, Włoskie wakacje, Przykładny obywatel, Men in Black: International, Zwyczajna miłość, Pasażer, Wdowy, Ballada o Busterze Scruggsie, Tajne źródło, Co wiecie o swoich dziadkach?, Red Nose Day Actually, Milczenie, Operacja Chromit: Bitwa o Inczon, Nocny pościg, Ted 2, Ekipa, Non-Stop, Krocząc wśród cieni, Milion sposobów, jak zginąć na Zachodzie, Uprowadzona 3, ",216,4,19, Wielka Brytania,Ballymena,0
45,Tom Cruise,3 lipca 1962,"Syracuse, Nowy Jork, USA",8.1,68852,"Zdobył 3 nagrody Złoty Glob, 9 innych nagród i 52 nominacje","Wywiad z wampirem, Jerry Maguire, Magnolia, Vanilla Sky, Top Gun, Mission: Impossible 2, Mumia, Urodzony 4 lipca, ","Ron Kovic, Lestat de Lioncourt, Kapitan Nathan Algren, Frank T.J. Mackey, Por. Daniel Kaffee, Porucznik Pete ""Maverick"" Mitchell, Vincent, Jerry Maguire, Charlie Babbitt, Les Grossman, ","Mission: Impossible - Dead Reckoning Part Two, Mission: Impossible 7 - Dead Reckoning Part 1, Top Gun: Maverick, Luna Park, Mission: Impossible - Fallout, Barry Seal: Król przemytu, Mumia, Jack Reacher: Nigdy nie wracaj, Mission: Impossible - Rogue Nation, Na skraju jutra, Niepamięć, Rock of Ages, Jack Reacher: Jednym strzałem, Mission: Impossible - Ghost Protocol, Wybuchowa para, Walkiria, Jaja w tropikach, Ukryta strategia, Mission: Impossible III, Wojna światów, Zakładnik, Ostatni samuraj, Raport mniejszości, Vanilla Sky, Mission: Impossible 2, ",254,12,52, USA,Syracuse,0
46,Jude Law,29 grudnia 1972,"Londyn, Anglia, Wielka Brytania",8.4,67522,"Zdobył BAFTA, 1 inna nagroda i 28 nominacji","Utalentowany pan Ripley, Młody papież, A.I. Sztuczna inteligencja, Sherlock Holmes, Wzgórze nadziei, Grand Budapest Hotel, Wróg u bram, Aviator, ","Milo Tindle, Dom Hemingway, Dickie Greenleaf, Wasilij Zajcew, Thomas Wolfe, Sam, ","Sherlock Holmes 3, Fantastyczne zwierzęta: Tajemnice Dumbledore'a, Lee, Nowy papież, Sekcja rytmiczna, Gniazdo, Dzień trzeci, W deszczowy dzień w Nowym Jorku, Kapitan Marvel, Skywatch, Vox Lux, Fantastyczne zwierzęta: Zbrodnie Grindelwalda, Król Artur: Legenda miecza, Geniusz, Młody papież, The Roof, Agentka, The Vote, Grand Budapest Hotel, Morze Czarne, Panaceum, Dom Hemingway, Connection, Anna Karenina, Contagion - Epidemia strachu, ",118,2,28, Wielka Brytania,Londyn,0
47,Chris Hemsworth,11 sierpnia 1983,"Melbourne, Australia",8.4,68122,"Zdobył 2 nagrody Nagroda Filmwebu, 6 innych nagród i 37 nominacji","Avengers 3D, Avengers: Czas Ultrona, Avengers: Wojna bez granic, Thor: Ragnarok, Wyścig, Królewna Śnieżka i Łowca, Tyler Rake: Ocalenie, Ghostbusters. Pogromcy duchów, ","James Hunt, Tyler Rake, ","Furiosa, Thor: Miłość i grom, Extraction 2, Pajęcza Głowa, Down Under Cover, Tyler Rake: Ocalenie, Avengers: Koniec gry, Men in Black: International, Jay i Cichy Bob powracają, Avengers: Wojna bez granic, Dwunastu odważnych, Źle się dzieje w El Royale, Thor: Ragnarok, Team Thor: Part 2, Łowca i Królowa Lodu, Ghostbusters. Pogromcy duchów, Doktor Strange, Team Thor, W samym sercu morza, Haker, Avengers: Czas Ultrona, W nowym zwierciadle: Wakacje, Thor: Mroczny świat, Wyścig, W ciemność. Star Trek, ",124,8,37, Australia,Melbourne,0
48,Sylvester Stallone,6 lipca 1946,"Nowy Jork, Nowy Jork, USA",8.2,59905,"Zdobył Złoty Glob, 16 innych nagród i 38 nominacji","Rocky, Creed: Narodziny legendy, Rocky 4, Rambo 2, Rambo III, Tango i Cash, Mali Agenci 3D: Trójwymiarowy odjazd, Cobra, ","Frank Leone, ","Samaritan, Scarpa, Tough as They Come, Rambo: Ostatnia krew, Escape Plan: The Extractors, Creed II, Plan ucieczki 2: Hades, Po własnych śladach, The Conners, Strażnicy Galaktyki vol. 2, Creed: Narodziny legendy, Motywacja, Niezniszczalni 3, Plan ucieczki, Legendy ringu, Niezniszczalni 2, Kula w łeb, Niezniszczalni, John Rambo, Rocky Balboa, Pokerzyści, Taxi 3, Mali Agenci 3D: Trójwymiarowy odjazd, Detoks, Słodka zemsta, ",200,17,38, USA,Nowy Jork,0
49,Amy Adams,20 sierpnia 1974,"Vicenza, Włochy",8.2,66462,"Zdobyła 2 nagrody Złoty Glob, 15 innych nagród i 82 nominacje","American Hustle, Nowy początek, Mistrz, Ostre przedmioty, Wielkie oczy, Zaczarowana, Świetlik, Fighter, ","Bev, Camille Preaker, Sydney Prosser, Delysia Lafosse, Louise Banks, Siostra James, Anna Fox, Rose Lorkowski, Peggy Dodd, Giselle, ","Disenchanted, Kobieta w oknie, Nightbitch, Kings of America, Liga Sprawiedliwości Zacka Snydera, Drogi Evanie Hansenie, Elegia dla bidoków, Ostre przedmioty, Vice, Liga Sprawiedliwości, Batman v Superman: Świt sprawiedliwości, Nowy początek, Zwierzęta nocy, Kołysanka, Wielkie oczy, Człowiek ze stali, Ona, American Hustle, W drodze, Mistrz, Dopóki piłka w grze, Muppety, Oświadczyny po irlandzku, Fighter, Miłość i brak zaufania, ",61,17,82, Włochy,Vicenza,0
50,Mark Ruffalo,22 listopada 1967,"Kenosha, Wisconsin, USA",8.1,66383,"Zdobył Złoty Glob, 9 innych nagród i 51 nominacji","Spotlight, Avengers 3D, Foxcatcher, Wszystko w porządku, Odruch serca, To wiem na pewno, Wyspa tajemnic, Możesz na mnie liczyć, ","Dominick Birdsey / Thomas Birdsey, Ned Weeks, Cameron Stuart, Dan Mulligan, Mike Rezendes, Robert Bilott, Chuck Aule, Dylan Rhodes, ","She-Hulk, Poor Things, Newsflash, Projekt Adam, Shang-Chi i legenda dziesięciu pierścieni, To wiem na pewno, Avengers: Koniec gry, Kapitan Marvel, Mroczne wody, Avengers: Wojna bez granic, Thor: Ragnarok, Iluzja 2, Team Thor, Avengers: Czas Ultrona, Spotlight, Odruch serca, Foxcatcher, Człowiek z bieguna, Iluzja, Zacznijmy od nowa, Iron Man 3, Avengers, Między nami seksoholikami, Margaret, Wyspa tajemnic, ",240,10,51, USA,Kenosha,0
51,Willem Dafoe,22 lipca 1955,"Appleton, Wisconsin, USA",8.2,64850,"Zdobył Saturn, 18 innych nagród i 37 nominacji","Projekt Floryda, Lighthouse, Cień wampira, Spider-Man: Bez drogi do domu, Van Gogh. U bram wieczności, Spider-Man, Grand Budapest Hotel, Pluton, ","Thomas Wake, Paul Smecker, Sierżant Elias Grodin, Max Schreck, Jezus, Vincent Van Gogh, Bobby Peru, Leonhard Seppala, Bobby, ","Wiking, Poor Things, Kurier Francuski z Liberty, Kansas Evening Sun, Zaułek koszmarów, Hazardzista, Liga Sprawiedliwości Zacka Snydera, Spider-Man: Bez drogi do domu, Jego ostatnie życzenie, Siberia, Tropico, Lighthouse, Osierocony Brooklyn, Tommaso, Togo, Aquaman, Van Gogh. U bram wieczności, Siedem sióstr, The Sleeping Shepherd, Morderstwo w Orient Expressie, Projekt Floryda, Opus Zero, Wielki Mur, Głowa rodziny, Geniusze zbrodni, Ojciec, ",167,19,37, USA,Appleton,0
52,Angelina Jolie,4 czerwca 1975,"Los Angeles, Kalifornia, USA",8.5,64080,"Zdobyła Oscar, 16 innych nagród i 51 nominacji","Pan i pani Smith, Przerwana lekcja muzyki, Oszukana, Czarownica, Turysta, Gia, Gra w serca, Lara Croft: Tomb Raider, ","Lisa Rowe, Gia Carangi, Christine Collins, Julia Russell / Bonny Castle, Jane Smith, Illeana Scott, Sarah Jordan, Amelia Donaghy, ","Eternals, Ci, którzy życzą mi śmierci, Piotruś Pan i Alicja w Krainie Czarów, Czarownica 2, Nad morzem, Czarownica, Salt, Turysta, Wanted - Ścigani, Oszukana, Beowulf, Cena odwagi, Dobry agent, Mr. & Mrs. Smith, Aleksander, Złodziej życia, Sky Kapitan i świat jutra, W gorączce, Lara Croft Tomb Raider: Kolebka życia, Bez granic, Co za życie, Lara Croft: Tomb Raider, Grzeszna miłość, 60 sekund, Kolekcjoner kości, ",10,17,51, USA,Los Angeles,1
53,Kate Winslet,5 października 1975,"Reading, Anglia, Wielka Brytania",8.6,64727,"Zdobyła Oscar, 26 innych nagród i 65 nominacji","Lektor, Titanic 3D, Mare z Easttown, Zakochany bez pamięci, Droga do szczęścia, Rozważna i romantyczna, Steve Jobs, Projektantka, ","Detektyw Mare Sheehan, Hanna Schmitz, Myrtle ""Tilly"" Dunnage, April Wheeler, Clementine Kruczynski, Adele, Sarah Pierce, Mary Anning, Mildred Pierce, ","Avatar 2, Lee, Mare z Easttown, Amonit, Bez pożegnania, Pomiędzy nami góry, Na karuzeli życia, Psy mafii, Ukryte piękno, Projektantka, Zbuntowana, Steve Jobs, Niezgodna, Odrobina chaosu, Długi, wrześniowy weekend, Movie 43, Contagion - Epidemia strachu, Mildred Pierce, Rzeź, Droga do szczęścia, Lektor, Wszyscy ludzie króla, Małe dzieci, Holiday, Romance & Cigarettes, ",6,27,65, Wielka Brytania,Reading,1
54,Robert Więckiewicz,30 czerwca 1967,"Nowa Ruda, Polska",8.2,62948,"Zdobył 5 nagród Orzeł, 6 innych nagród i 15 nominacji","W ciemności, Pod Mocnym Aniołem, Wszystko będzie dobrze, Ile waży koń trojański?, Różyczka, Wymyk, Ukryta gra, Vinci, ","Jerzy, Nauczyciel Andrzej, Jacek, Jan ""Blacha"" Blachowski, Lech Wałęsa, Leopold Socha, Twardowsky, Robert Cumiński ""Cuma"", Roman Rożek, Twardowsky, ","Behawiorysta, Minuta ciszy, Najmro. Kocha, kradnie, szanuje, Miasto, Wesele, Żeby nie było śladów, Ja teraz kłamię, Ukryta gra, Odwróceni. Ojcowie i córki, 1983, Jak pies z kotem, Kler, 7 uczuć, Ślepnąc od świateł, Volta, Katyń – Ostatni świadek, Konwój, Prawdziwe zbrodnie, Romantik, Wspomnienie lata, Twardowsky 2.0, Ziarno prawdy, Król życia, Twardowsky, Pod Mocnym Aniołem, ",191,11,15, Polska,Nowa Ruda,0
